unique_id;nom_unique;doublon;bdd_source;localisation_qualite;camp_latitude;camp_longitude;URL_maps;iso3;pays;pays_population;pays_surfacekm2;derniere_date_info;actif_dernieres_infos;ouverture/premiere_date;fermeture_date;camp_adresse;camp_code_postal;camp_commune;type_camp;capacite_2017;capacite_2018;capacite_2019;capacite_2020;capacite_2021;capacite_2022;capacite_2023;effectif_2017;effectif_2018;effectif_2019;effectif_2020;effectif_2021;effectif_hommes_2022;effectif_femmes_2022;effectifs_mineurs_2022;effectif_total_2022;duree_max_2017;duree_max_2018;duree_max_2019;duree_max_2020;duree_max_2021;duree_max_2022;duree_moy_2017;duree_moy_2018;duree_moy_2019;duree_moy_2020;duree_moy_2021;duree_moy_2022;mineurs_2017;mineurs_2018;mineurs_2019;mineurs_2020;mineurs_2021;nationalite;capacite;prison;degurba;horsdburba;ville_proche_nom;ville_proche_code postal;ville_proche_population;distance_ville_proche;eurostat_computed_fua_code;eurostat_computed_gisco_id;eurostat_name_ascii_2016;eurostat_pop_2019;camps_commune_surfacekm2;infrastructure_norm;infrastructure_avant_conversion;infrastructure_solidite;infrastructure_confort;climat;mairie_distance;atm_distance;hopital_distance;pharmacie_distance;arret_bus_distance_km;gare_distance_km;medecin_clinique_hors_camp_distance_km;dentiste_hors_camp_distance_km;ecole_hors_camp_distance_km;poste_hors_camp_distance_km;clc_majoritaire_2;clc_majoritaire_3;clc_majoritaire_23_mixte;clc_majoritaire_13_mixte;distance_13_mines_decharges_chantiers;distance_124_aeroport;distance_123_zones_portuaires;distance_122_reseaux_routiers;distance_24_zones_agricoles_heterogenes;distance_41_zones_humides_interieures;distance_121_zi_zac;distanceschengenkm;eloignementschengen;classificationweb;membersclus3;membersclus4;geom
1517;Ris-Orangis - CADA;Non;La_Cimade;quartier;48.652114;2.398761;NA;FRA;France;67248926.0;636759.0;2022;oui;NA;NA;85 BIS ROUTE DE GRIGNY;91;Ris-Orangis;ouvert;NA;NA;NA;NA;NA;85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;85.0;non;1.0;False;FUA of Paris;NA;12882627.0;32.711;FR001L1;FR_91521;Ris-Orangis;29225.0;8.36600573;dur;pas de conversion;4.0;NA;NA;1.026;1.151;1.009;0.574;0.285;0.37;0.574;0.959;0.058;0.895;11.0;112.0;112.0;112.0;6.336;5.183;4.873;0.65;1.701;8.217;0.002;255.825;loin_interne;banlieue;2.0;11.0;0101000020E6100000AF5C6F9BA9300340C2A1B77878534840
1229;DIJON - CADA - 9;Non;La_Cimade;vérifiée;47.344033;5.056084;https://maps.app.goo.gl/LjUUi5TGeLfMCWUbA;FRA;France;67248926.0;636759.0;2022;oui;NA;NA;31 RUE AUGUSTE BLANQUI;21;DIJON;ouvert;NA;NA;NA;NA;NA;130;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;130.0;non;1.0;False;FUA of Dijon;NA;410882.0;3.779;FR020L2;FR_21231;Dijon;156920.0;41.79819361;dur;pas de conversion;4.0;NA;NA;1.172;1.171;1.409;1.158;0.31;3.462;1.256;2.067;0.279;0.403;11.0;112.0;112.0;112.0;2.618;6.664;30.457;2.616;2.565;32.949;0.23;167.652;loin_interne;banlieue;2.0;11.0;0101000020E6100000C25087156E39144055DFF94509AC4740
1223;DIJON - CADA - 3;Non;La_Cimade;vérifiée;47.300554;5.036833;https://maps.app.goo.gl/bK4CJCtzVC4Ej64N8;FRA;France;67248926.0;636759.0;2022;oui;NA;NA;1 RUE DES VERRIERS;21;DIJON;ouvert;NA;NA;NA;NA;NA;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80.0;non;1.0;False;FUA of Dijon;NA;410882.0;3.905;FR020C2;FR_21231;Dijon;156920.0;41.79819361;dur;pas de conversion;4.0;NA;NA;2.588;1.706;1.967;0.967;0.053;3.413;2.025;1.486;0.718;0.844;12.0;121.0;121.0;121.0;6.827;3.358;27.236;0.129;2.852;30.866;0.0;167.002;loin_interne;banlieue;2.0;11.0;0101000020E61000007EA7C98CB72514404B57B08D78A64740
1205;HEROUVILLE-ST-CLAIR - CADA;Non;La_Cimade;quartier;49.206338;-0.325332;https://maps.app.goo.gl/bNb37DwmJPa77w737;FRA;France;67248926.0;636759.0;2022;oui;NA;NA; 320 BOULEVARD DU VAL;14;HEROUVILLE-ST-CLAIR;ouvert;NA;NA;NA;NA;NA;103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;103.0;non;1.0;False;FUA of Caen;NA;440960.0;5.546;FR023C2;FR_14327;Hérouville-Saint-Clair;22954.0;10.63840178;dur;pas de conversion;4.0;NA;NA;1.039;0.649;0.759;0.198;0.081;5.56;0.759;5.441;0.385;0.858;12.0;121.0;121.0;121.0;3.783;8.713;8.962;3.031;0.851;11.237;0.0;16.873;proche_interne;banlieue;2.0;11.0;0101000020E6100000C9E7154F3DD2D4BF06F69848699A4840
1219;BOURGES - CADA - 9;Non;La_Cimade;vérifiée;47.085542;2.400598;https://maps.app.goo.gl/oQe9cs4x9waa7SeY8;FRA;France;67248926.0;636759.0;2022;oui;NA;NA;12 Bis Bd Georges Clemenceau, 18000 Bourges;18;BOURGES;ouvert;NA;NA;NA;NA;NA;92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;92.0;non;1.0;False;FUA of Bourges;NA;173881.0;1.793;FR065C2;FR_18033;Bourges;64551.0;68.52003756;dur;pas de conversion;4.0;NA;NA;0.684;0.309;1.15;0.257;0.051;1.049;0.709;0.835;0.597;0.24;11.0;111.0;111.0;111.0;10.81;2.722;171.049;5.717;0.182;10.831;0.757;411.014;loin_interne;banlieue;2.0;11.0;0101000020E61000007BBE66B96C3403409B374E0AF38A4740
1217;BOURGES - CADA - 7;Non;La_Cimade;quartier;47.0519502843246;2.40523746556862;https://maps.app.goo.gl/GtXt5HQJGDXVpF966;FRA;France;67248926.0;636759.0;2022;oui;NA;NA;RUE DE LA VERNUSSE;18;BOURGES;ouvert;NA;NA;NA;NA;NA;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60.0;non;1.0;False;FUA of Bourges;NA;173881.0;3.756;FR065C2;FR_18033;Bourges;64551.0;68.52003756;dur;pas de conversion;4.0;NA;NA;2.097;4.577;5.097;2.126;0.325;5.344;0.822;4.65;0.473;2.155;14.0;142.0;142.0;142.0;9.445;2.049;174.774;2.757;0.435;10.619;1.105;409.843;loin_interne;ville;3.0;12.0;0101000020E610000065D9ED23ED3D03409518924EA6864740
1533;Pesan - CADA;Non;La_Cimade;vérifiée;49.157286;2.282883;https://maps.app.goo.gl/ho1Eq2YnFzbKrJ5p9;FRA;France;67248926.0;636759.0;2022;oui;NA;NA;109 Rue Jean Catelas, 95340 Persan;95;Pesan;ouvert;NA;NA;NA;NA;NA;115;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;115.0;non;2.0;False;FUA of Paris;NA;12882627.0;54.3;FR001L1;FR_95487;Persan;12695.0;5.22552607;dur;pas de conversion;4.0;NA;NA;1.324;3.787;2.073;1.383;0.165;1.553;3.827;10.841;0.44;1.612;11.0;112.0;112.0;112.0;6.47;18.31;23.067;0.648;0.056;25.958;0.205;184.016;loin_interne;ville;3.0;12.0;0101000020E610000044C18C2958430240300F99F221944840
1423;BRON - CADA;Non;La_Cimade;vérifiée;45.7467587919152;4.92279349227436;https://maps.app.goo.gl/XhUD7TjKKVCbDiVK9;FRA;France;67248926.0;636759.0;2022;oui;NA;NA;2 Rue Hélène Boucher, 69500 Bron;69;BRON;ouvert;NA;NA;NA;NA;NA;150;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;150.0;non;1.0;False;FUA of Lyon;NA;2093502.0;7.871;FR003L2;FR_69029;Bron;41543.0;10.23443788;dur;pas de conversion;4.0;NA;NA;1.696;1.721;1.914;0.231;0.129;2.303;1.847;2.649;0.243;0.219;11.0;112.0;112.0;112.0;8.495;1.609;6.769;2.305;3.277;14.145;0.085;130.668;loin_interne;banlieue;2.0;11.0;0101000020E6100000BA1EF9C6F0B013405CA3C6CA95DF4640
1173;REVIN - CADA;Non;La_Cimade;vérifiée;49.929561;4.633164;https://maps.app.goo.gl/3f6cNbsMvy9DVZGx6;FRA;France;67248926.0;636759.0;2022;oui;NA;NA;17 RUE DES GENETS;8;REVIN;ouvert;NA;NA;NA;NA;NA;106;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;106.0;non;2.0;False;Charleroi (greater city);NA;509138.0;86.905;BE004L3;FR_08363;Revin;6239.0;38.69066855;dur;pas de conversion;4.0;NA;NA;2.2;2.229;13.367;1.68;1.447;1.887;11.588;28.667;0.224;1.481;11.0;112.0;112.0;112.0;7.957;13.405;27.29;10.214;5.847;9.525;0.707;9.162;proche_interne;ville;3.0;12.0;0101000020E6100000A704C4245C8812408B51D7DAFBF64840
1190;MARSEILLE - CADA - 0;Non;La_Cimade;vérifiée;43.3072760687429;5.37724563859346;https://maps.app.goo.gl/cwjC5WPnPaqTbLdZ7;FRA;France;67248926.0;636759.0;2022;oui;NA;NA;38 BOULEVARD DE STRASBOURG ;13;MARSEILLE;ouvert;NA;NA;NA;NA;NA;149;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;149.0;non;1.0;False;FUA of Marseille;NA;1275379.0;6.82;FR203C1;FR_13055;Marseille;863310.0;238.58927458;dur;pas de conversion;4.0;NA;NA;0.644;0.423;0.523;0.224;0.124;0.514;0.523;0.582;0.034;0.453;11.0;111.0;111.0;111.0;5.029;17.455;0.744;0.426;4.085;18.86;1.526;3.099;proche_interne;banlieue;2.0;11.0;0101000020E61000002B4541AE4C8215400F0C7DD254A74540
